"Date Time","Intersection Street One","Intersection Street Two","Address Street Number","Address Street Name","Number of Motorists","Number of Cyclists","Number of Pedestrians","Number of Injured Individuals","Hospitalizations (estimated)","Neighborhood (estimated)"
"2026 Sep 20 02:35:00 PM",,,"340","RIVER STREET","1","0","0","0","0","Cambridgeport"
"2026 Sep 19 01:00:00 PM",,,"1","BELMONT STREET","0","0","0","0","0","Strawberry Hill"
"2026 Sep 18 09:45:00 PM",,,,"WESTERN AVE","1","0","0","0","0",
"2026 Sep 18 02:00:00 PM",,,"141","PUTNAM AVE","0","0","0","0","0","Riverside"
"2026 Sep 18 12:53:00 PM","MASSACHUSETTS AVENUE","ALBANY STREET",,,"1","0","1","1","0","Cambridgeport"
"2026 Sep 18 07:36:00 AM",,,"1","CAMBRIDGE PARK PLACE","1","0","0","0","0",
"2026 Sep 17 02:55:00 PM","BRATTLE","CRAIGIE",,,"1","1","0","1","0",
"2026 Sep 17 01:01:00 PM",,,"1","ELIOT PLACE","1","0","0","1","0",
"2026 Sep 17 11:52:00 AM",,,"38","PORTLAND ST","2","0","0","1","0",
"2026 Sep 17 10:35:00 AM","RAYMOND ST","HURON AVENUE",,,"0","0","1","1","0","Neighborhood Nine"
"2026 Sep 17 06:00:00 AM",,,"191","WINDSOR STREET","0","0","0","0","0","The Port"
"2026 Sep 17 06:00:00 AM",,,"55","ESSEX ST","0","0","0","0","0","The Port"
"2026 Sep 16 10:00:00 PM",,,"198","HAMPSHIRE STREET","0","0","0","0","0","Mid-Cambridge"
"2026 Sep 16 09:15:00 PM","HURON AVE","ABERDEEN ST.",,,"2","0","0","0","0",
"2026 Sep 16 06:08:00 PM",,,"215","ALEWIFE BROOK PKWY","1","0","0","0","0","Cambridge Highlands"
"2026 Sep 16 11:14:00 AM","COLUMBIA ST",,"6","COLUMBIA ST","1","1","0","1","1","The Port"
"2026 Sep 16 08:24:00 AM","COLUMBIA STREET","BROADWAY",,,"1","0","0","0","0","The Port"
"2026 Sep 15 01:00:00 PM",,,"215","ALEWIFE BROOK PKWY","0","0","0","0","0","Cambridge Highlands"
"2026 Sep 15 08:55:00 AM",,,"40","LAND BLVD","0","0","0","0","0","East Cambridge"
"2026 Sep 14 07:42:00 PM",,,"115","PROSPECT STREET","1","1","0","1","0","Mid-Cambridge"
"2026 Sep 14 02:00:00 PM",,,"32","CHATHAM","1","0","0","0","0",
"2026 Sep 13 07:48:00 PM",,,"73","MARTIN STREET","1","0","0","0","0","Neighborhood Nine"
"2026 Sep 13 05:45:00 PM",,,"844","MAIN ST","2","0","0","1","0","The Port"
"2026 Sep 13 01:48:00 PM",,,"32","ALBANY STREET","0","0","0","0","0","The Port"
"2026 Sep 12 05:00:00 PM","ALEWIFE BROOK PARKWAY","CONCORD AVE","211","ALEWIFE BROOK PARKWAY","2","0","0","0","0","Cambridge Highlands"
"2026 Sep 12 02:13:00 AM","BROOKLINE STREET","MASS AVE",,,"2","0","0","0","0","Cambridgeport"
"2026 Sep 11 11:10:00 PM","MAIN ST","OSBORNE ST",,,"1","1","0","1","1","The Port"
"2026 Sep 11 10:34:00 PM","GARDEN ST.","APPIAN WAY",,,"0","0","0","0","0","West Cambridge"
"2026 Sep 11 10:49:00 AM","PEABODY STREET","GARDEN",,,"1","0","0","0","0","Neighborhood Nine"
